proj_id,regis_id,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,Firm Name,permit_us_investment,AIMC Category,type,last_upd_date,asset_lv3_name,asset_lv3_code,asset_lv2_name,asset_lv2_code,asset_lv1_name,asset_lv1_code,status
M0395_2557,MF0369_2557,กองทุนเปิด วรรณ สตาร์ ซีเล็คชั่น ฟันด์,ONE Stars Selection,ONE-STARS,CA,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0853_2557,MF0355_2558,กองทุนเปิด วรรณ STOXX อาเซียน ซีเล็ค ดิวิเดนด์ อินเด็กซ์ ฟันด์,ONE STOXX ASEAN Select Dividend USD,ONE-STOXXASEAN,RG,C0000000569,One Asset Management Ltd,Y,ASEAN Equity,Other,2018-12-17T05:05:56,ASEAN Equity,EQASEAN,ตราสารทุนอาเซียน,EQASEAN,ตราสารทุนตลาดเกิดใหม่,EQEM,avaliable
M0853_2557,MF0355_2558,กองทุนเปิด วรรณ STOXX อาเซียน ซีเล็ค ดิวิเดนด์ อินเด็กซ์ ฟันด์,ONE STOXX ASEAN Select Dividend THB,ONE-STOXXASEAN,RG,C0000000569,One Asset Management Ltd,Y,ASEAN Equity,Other,2018-12-17T05:05:56,ASEAN Equity,EQASEAN,ตราสารทุนอาเซียน,EQASEAN,ตราสารทุนตลาดเกิดใหม่,EQEM,avaliable
M0638_2560,MF0506_2560,กองทุนเปิด วรรณ ท็อป ซีเล็คชั่น 5M,ONE Top Selection 5M,ONE-TOP5M,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0015_2536,024_2536,กองทุนเปิดสหธนาคารเอกปันผล 3,ONE UB 3,ONE-UB 3,RG,C0000000569,One Asset Management Ltd,Y,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0637_2559,MF0576_2559,กองทุนเปิด วรรณ อัลติเมท โกลบอล อิควิตี้ เพื่อการเลี้ยงชีพ,One Ultimate Glbl Eq Retirement Mutual,ONE-UGERMF,RG,C0000000569,One Asset Management Ltd,Y,Global Equity,RMF,2018-12-17T05:05:56,Global Equity,EQGL,ตลาดโลก,EQGL,ตลาดโลก,EQGL,avaliable
M0717_2558,MF0045_2559,กองทุนเปิดวรรณ อัลติเมท โกลบอล โกรว์ธ,ONE Ultimate Global Growth,ONE-UGG,RG,C0000000569,One Asset Management Ltd,Y,Global Equity,Other,2018-12-17T05:05:56,Global Equity,EQGL,ตลาดโลก,EQGL,ตลาดโลก,EQGL,avaliable
M0363_2558,MF0447_2558,กองทุนเปิด วรรณ อัลตร้า อินคัม ฟันด์,ONE Ultra Income,ONE-ULTRA,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0140_2556,MF0164_2556,กองทุนเปิด วรรณ พร็อพเพอร์ตี้ พลัส ดิวิเดน ฟันด์,ONE Property Plus Dividend,ONEPROP-D,RG,C0000000569,One Asset Management Ltd,Y,Fund of Property Fund - Thai,Other,2018-12-17T05:05:56,Fund of Property Fund - Thai,PRFOPTH,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,avaliable
M0768_2555,MF0748_2555,กองทุนเปิด วรรณ พร็อพเพอร์ตี้ เพื่อการเลี้ยงชีพ,ONE Property RMF,ONEPROP-RMF,RG,C0000000569,One Asset Management Ltd,Y,Fund of Property Fund - Thai,RMF,2018-12-17T05:05:56,Fund of Property Fund - Thai,PRFOPTH,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,avaliable
M0568_2554,MF0512_2554,กองทุนเปิด วรรณ พร็อพเพอร์ตี้ สิงคโปร์,ONE Property Singapore,ONEPROP-SG,RG,C0000000569,One Asset Management Ltd,Y,Fund of Property Fund - Foreign,Other,2018-12-17T05:05:56,Fund of Property Fund - Foreign,PRFOPFR,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,avaliable
M0244_2550,178_2550,กองทุนเปิด  ฟิลลิป หุ้นระยะยาว,Phillip Long Term Equity,P-LTF,RG,C0000006122,"Phillip Asset Management Co., Ltd.",Y,Equity General,LTF,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0281_2550,231_2550,กองทุนเปิดฟิลลิปบริหารเงิน,Phillip Cash Management,PCASH,RG,C0000006122,"Phillip Asset Management Co., Ltd.",Y,Money Market Government,Other,2018-12-17T05:05:56,Money Market Government,FIXMMGOV,ตลาดเงิน,CASHTH,ตลาดเงิน,CASH-TH,avaliable
M0430_2556,MF0445_2556,กองทุนเปิด ฟิลลิป ตราสารทุน,Phillip Equity,PEQ,RG,C0000006122,"Phillip Asset Management Co., Ltd.",Y,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0098_2551,089_2551,กองทุนเปิดฟิลลิปตราสารหนี้เพื่อการเลี้ยงชีพ,Phillip Fixed Income RMF,PFIXRMF,RG,C0000006122,"Phillip Asset Management Co., Ltd.",Y,Short Term General Bond,RMF,2018-12-17T05:05:56,Short Term General Bond,FIXGEN,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0536_2552,505_2552,กองทุนเปิด ฟิลลิป ทองคำ,Phillip Gold,PGOLD,RG,C0000006122,"Phillip Asset Management Co., Ltd.",N,Commodities Precious Metals,Other,2018-12-17T05:05:56,Commodities Precious Metals,COMPM,ทองคำ,GOLD,ทองคำ,GOLD,avaliable
M0582_2554,MF0533_2554,กองทุนเปิดภัทร แอ็กทิฟ อิควิตี้,Phatra Active Equity,PHATRA ACT EQ,RG,C0000005025,"Phatra Asset Management Co., Ltd.",N,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0526_2558,MF0517_2558,กองทุนเปิดภัทร แอ็กทิฟ ฟิกซ์ อินคัม,Phatra Active Fixed Income,PHATRA ACT FIXED,RG,C0000005025,"Phatra Asset Management Co., Ltd.",N,Mid Term General Bond,Other,2018-12-17T05:05:56,Mid Term General Bond,FIXMIDGEN,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0423_2547,071_2547,กองทุนเปิดภัทร บาลานซ์เพื่อการเลี้ยงชีพ,Phatra Balance RMF,PHATRA BLRMF,RG,C0000005025,"Phatra Asset Management Co., Ltd.",N,Aggressive Allocation,RMF,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0376_2555,MF0383_2555,กองทุนเปิดภัทร ดิวิเดนด์ อิควิตี้,Phatra Dividend Equity,PHATRA DIVIDEND,RG,C0000005025,"Phatra Asset Management Co., Ltd.",N,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
